Local_Govt_Name,url,swmPlan,wComposition,Local_Govt_Type
Alberni-Clayoquot,http://www.acrd.bc.ca/,http://www.acrd.bc.ca/cms.asp?wpID=210,http://www.acrd.bc.ca/cms.asp?wpID=210,Regional District
British Columbia,NA,NA,NA,Province
Bulkley-Nechako,http://www.rdbn.bc.ca/,http://www.rdbn.bc.ca/environmentalservices/solid-waste-management,http://www.rdbn.bc.ca/environmentalservices/solid-waste-management,Regional District
Capital,http://www.crd.bc.ca/,https://www.crd.bc.ca/service/waste-recycling/solid-waste-management/reports-publications,https://www.crd.bc.ca/service/waste-recycling/solid-waste-management/reports-publications,Regional District
Cariboo,http://www.cariboord.bc.ca/,http://www.cariboord.ca/services/solid-waste-management/swm-review,NA,Regional District
Central Coast,http://www.ccrd-bc.ca/,http://www.ccrd-bc.ca/services/environment.php,NA,Regional District
Central Kootenay,http://www.rdck.bc.ca/,http://www.rdck.ca/EN/main/services/waste-recycling.html,NA,Regional District
Central Okanagan,http://www.regionaldistrict.com/,http://www.regionaldistrict.com/your-services/waste-reduction-office/solid-waste-management-plan.aspx,NA,Regional District
Columbia-Shuswap,https://csrd.civicweb.net/,http://www.csrd.bc.ca/services/solid-waste-recycling,https://www.csrd.bc.ca/services/solid-waste-recycling,Regional District
Comox-Strathcona,http://www.cswm.ca/,http://www.cswm.ca/plan.html,http://agendaminutes.comoxvalleyrd.ca/Agenda_minutes/CSWMBoard/RSW/08-Mar-18/e_20180228_Dyson_CVWMC_Waste_composition_SR.pdf,Regional District
Cowichan Valley,http://www.cvrd.bc.ca/,https://www.cvrd.bc.ca/2979/Solid-Waste-Management-Plan,https://www.cvrd.bc.ca/DocumentCenter/View/87497/Waste-Composition-Study-2017?bidId=,Regional District
East Kootenay,http://www.rdek.bc.ca/,http://www.rdek.bc.ca/departments/environmentalservices/garbage_recycling/,https://engage.rdek.bc.ca/6982/documents/13338,Regional District
Fraser Valley,http://www.fvrd.bc.ca/,http://www.fvrd.ca/EN/main/services/garbage.html,http://www.fvrd.ca/EN/main/services/garbage.html,Regional District
Fraser-Fort George,http://www.rdffg.bc.ca/,http://www.rdffg.bc.ca/services/environment/solid-waste-management/overview-16,http://www.rdffg.bc.ca/uploads/757/FeasibilityStudyWasteDiversion.pdf,Regional District
Kitimat-Stikine,http://rdks.bc.ca/,http://rdks.bc.ca/content/solid-waste-management-plan,https://www.rdks.bc.ca/sites/default/files/rdks_waste_comp_report_rev1_taiswmp.pdf,Regional District
Kootenay Boundary,http://www.rdkb.com/,http://www.rdkb.com/Services/EnvironmentalPrograms/WasteManagement/SolidWasteManagementPlanUpdate.aspx,http://www.rdkb.com/Services/EnvironmentalPrograms/Committees/LinksandReports.aspx,Regional District
Metro-Vancouver,http://www.metrovancouver.org/,http://www.metrovancouver.org/services/solid-waste/about/reports-statistics/Pages/default.aspx,http://www.metrovancouver.org/services/solid-waste/about/reports-statistics/Pages/default.aspx,Regional District
Mount Waddington,http://www.rdmw.bc.ca/,http://www.rdmw.bc.ca/regional-services/solid-waste/,NA,Regional District
Nanaimo,http://www.rdn.bc.ca/,https://www.getinvolved.rdn.ca/swmp,http://www.rdn.bc.ca/rdn-waste-composition-studies,Regional District
North Coast,https://www.ncrdbc.com/,https://www.ncrdbc.com/services/waste/landfill-transfer-stations,NA,Regional District
North Okanagan,http://www.rdno.ca/,http://www.rdno.ca/index.php/services/community/solid-waste,http://www.rdno.ca/index.php/services/community/solid-waste,Regional District
Northern Rockies,http://www.northernrockies.ca/,http://www.northernrockies.ca/EN/main/city/public-works/4075.html,http://www.northernrockies.ca/EN/main/residents/sustainability-waste-management.html,Regional District
Okanagan-Similkameen,http://www.regionaldistrict.com/,http://www.rdos.bc.ca/departments/public-works/solid-waste/solid-waste-management-plan/,NA,Regional District
Peace River,http://prrd.bc.ca/,http://prrd.bc.ca/services/garbage-and-recycling/plans-and-strategies/,http://prrd.bc.ca/services/garbage-and-recycling/plans-and-strategies/,Regional District
qathet,http://www.powellriverrd.bc.ca/,http://www.powellriverrd.bc.ca/community-services-2/regional-solid-waste-recycling/swmp/,NA,Regional District
Squamish-Lillooet,http://slrd.iwebez.com/,http://www.slrd.bc.ca/services/recycling-composting-waste-landfill/solid-waste-management-plan,https://www.slrd.bc.ca/inside-slrd/news-events/slrd-weighs-waste-management-goals,Regional District
Sunshine Coast,http://www.scrd.ca/,http://www.scrd.ca/SWMP,http://www.scrd.ca/waste-composition,Regional District
Thompson-Nicola,http://www.tnrd.ca/,http://www.tnrd.ca/content/solid-waste-recycling-0,https://tnrd.civicweb.net/Documents/DocumentList.aspx?ID=15773,Regional District